Date,Cash,Holdings,Equity,OpenPositions
2021-06-22,1000000.0,0.0,1000000.0,0
2021-06-23,1000000.0,0.0,1000000.0,0
2021-06-24,1000000.0,0.0,1000000.0,0
2021-06-25,1000000.0,0.0,1000000.0,0
2021-06-28,1000000.0,0.0,1000000.0,0
2021-06-29,1000000.0,0.0,1000000.0,0
2021-06-30,1000000.0,0.0,1000000.0,0
2021-07-01,1000000.0,0.0,1000000.0,0
2021-07-02,1000000.0,0.0,1000000.0,0
2021-07-05,1000000.0,0.0,1000000.0,0
2021-07-06,1000000.0,0.0,1000000.0,0
2021-07-07,1000000.0,0.0,1000000.0,0
2021-07-08,1000000.0,0.0,1000000.0,0
2021-07-09,1000000.0,0.0,1000000.0,0
2021-07-12,1000000.0,0.0,1000000.0,0
2021-07-13,1000000.0,0.0,1000000.0,0
2021-07-14,1000000.0,0.0,1000000.0,0
2021-07-15,1000000.0,0.0,1000000.0,0
2021-07-16,1000000.0,0.0,1000000.0,0
2021-07-19,1000000.0,0.0,1000000.0,0
2021-07-20,1000000.0,0.0,1000000.0,0
2021-07-22,1000000.0,0.0,1000000.0,0
2021-07-23,1000000.0,0.0,1000000.0,0
2021-07-26,1000000.0,0.0,1000000.0,0
2021-07-27,1000000.0,0.0,1000000.0,0
2021-07-28,1000000.0,0.0,1000000.0,0
2021-07-29,1000000.0,0.0,1000000.0,0
2021-07-30,1000000.0,0.0,1000000.0,0
2021-08-02,1000000.0,0.0,1000000.0,0
2021-08-03,1000000.0,0.0,1000000.0,0
2021-08-04,1000000.0,0.0,1000000.0,0
2021-08-05,1000000.0,0.0,1000000.0,0
2021-08-06,1000000.0,0.0,1000000.0,0
2021-08-09,1000000.0,0.0,1000000.0,0
2021-08-10,1000000.0,0.0,1000000.0,0
2021-08-11,1000000.0,0.0,1000000.0,0
2021-08-12,1000000.0,0.0,1000000.0,0
2021-08-13,1000000.0,0.0,1000000.0,0
2021-08-16,1000000.0,0.0,1000000.0,0
2021-08-17,1000000.0,0.0,1000000.0,0
2021-08-18,1000000.0,0.0,1000000.0,0
2021-08-20,1000000.0,0.0,1000000.0,0
2021-08-23,1000000.0,0.0,1000000.0,0
2021-08-24,1000000.0,0.0,1000000.0,0
2021-08-25,1000000.0,0.0,1000000.0,0
2021-08-26,1000000.0,0.0,1000000.0,0
2021-08-27,1000000.0,0.0,1000000.0,0
2021-08-30,1000000.0,0.0,1000000.0,0
2021-08-31,1000000.0,0.0,1000000.0,0
2021-09-01,1000000.0,0.0,1000000.0,0
2021-09-02,1000000.0,0.0,1000000.0,0
2021-09-03,1000000.0,0.0,1000000.0,0
2021-09-06,1000000.0,0.0,1000000.0,0
2021-09-07,1000000.0,0.0,1000000.0,0
2021-09-08,1000000.0,0.0,1000000.0,0
2021-09-09,1000000.0,0.0,1000000.0,0
2021-09-13,1000000.0,0.0,1000000.0,0
2021-09-14,1000000.0,0.0,1000000.0,0
2021-09-15,1000000.0,0.0,1000000.0,0
2021-09-16,1000000.0,0.0,1000000.0,0
2021-09-17,1000000.0,0.0,1000000.0,0
2021-09-20,1000000.0,0.0,1000000.0,0
2021-09-21,1000000.0,0.0,1000000.0,0
2021-09-22,1000000.0,0.0,1000000.0,0
2021-09-23,1000000.0,0.0,1000000.0,0
2021-09-24,1000000.0,0.0,1000000.0,0
2021-09-27,1000000.0,0.0,1000000.0,0
2021-09-28,1000000.0,0.0,1000000.0,0
2021-09-29,1000000.0,0.0,1000000.0,0
2021-09-30,1000000.0,0.0,1000000.0,0
2021-10-01,1000000.0,0.0,1000000.0,0
2021-10-04,1000000.0,0.0,1000000.0,0
2021-10-05,1000000.0,0.0,1000000.0,0
2021-10-06,1000000.0,0.0,1000000.0,0
2021-10-07,1000000.0,0.0,1000000.0,0
2021-10-08,1000000.0,0.0,1000000.0,0
2021-10-11,1000000.0,0.0,1000000.0,0
2021-10-12,1000000.0,0.0,1000000.0,0
2021-10-13,1000000.0,0.0,1000000.0,0
2021-10-14,1000000.0,0.0,1000000.0,0
2021-10-18,1000000.0,0.0,1000000.0,0
2021-10-19,1000000.0,0.0,1000000.0,0
2021-10-20,1000000.0,0.0,1000000.0,0
2021-10-21,1000000.0,0.0,1000000.0,0
2021-10-22,1000000.0,0.0,1000000.0,0
2021-10-25,1000000.0,0.0,1000000.0,0
2021-10-26,1000000.0,0.0,1000000.0,0
2021-10-27,1000000.0,0.0,1000000.0,0
2021-10-28,1000000.0,0.0,1000000.0,0
2021-10-29,1000000.0,0.0,1000000.0,0
2021-11-01,1000000.0,0.0,1000000.0,0
2021-11-02,1000000.0,0.0,1000000.0,0
2021-11-03,1000000.0,0.0,1000000.0,0
2021-11-04,1000000.0,0.0,1000000.0,0
2021-11-08,1000000.0,0.0,1000000.0,0
2021-11-09,1000000.0,0.0,1000000.0,0
2021-11-10,1000000.0,0.0,1000000.0,0
2021-11-11,1000000.0,0.0,1000000.0,0
2021-11-12,1000000.0,0.0,1000000.0,0
2021-11-15,1000000.0,0.0,1000000.0,0
2021-11-16,1000000.0,0.0,1000000.0,0
2021-11-17,1000000.0,0.0,1000000.0,0
2021-11-18,1000000.0,0.0,1000000.0,0
2021-11-22,1000000.0,0.0,1000000.0,0
2021-11-23,1000000.0,0.0,1000000.0,0
2021-11-24,1000000.0,0.0,1000000.0,0
2021-11-25,1000000.0,0.0,1000000.0,0
2021-11-26,1000000.0,0.0,1000000.0,0
2021-11-29,1000000.0,0.0,1000000.0,0
2021-11-30,1000000.0,0.0,1000000.0,0
2021-12-01,1000000.0,0.0,1000000.0,0
2021-12-02,1000000.0,0.0,1000000.0,0
2021-12-03,1000000.0,0.0,1000000.0,0
2021-12-06,1000000.0,0.0,1000000.0,0
2021-12-07,1000000.0,0.0,1000000.0,0
2021-12-08,1000000.0,0.0,1000000.0,0
2021-12-09,1000000.0,0.0,1000000.0,0
2021-12-10,1000000.0,0.0,1000000.0,0
2021-12-13,1000000.0,0.0,1000000.0,0
2021-12-14,1000000.0,0.0,1000000.0,0
2021-12-15,1000000.0,0.0,1000000.0,0
2021-12-16,1000000.0,0.0,1000000.0,0
2021-12-17,1000000.0,0.0,1000000.0,0
2021-12-20,1000000.0,0.0,1000000.0,0
2021-12-21,1000000.0,0.0,1000000.0,0
2021-12-22,1000000.0,0.0,1000000.0,0
2021-12-23,1000000.0,0.0,1000000.0,0
2021-12-24,1000000.0,0.0,1000000.0,0
2021-12-27,1000000.0,0.0,1000000.0,0
2021-12-28,1000000.0,0.0,1000000.0,0
2021-12-29,1000000.0,0.0,1000000.0,0
2021-12-30,1000000.0,0.0,1000000.0,0
2021-12-31,1000000.0,0.0,1000000.0,0
2022-01-03,1000000.0,0.0,1000000.0,0
2022-01-04,1000000.0,0.0,1000000.0,0
2022-01-05,1000000.0,0.0,1000000.0,0
2022-01-06,1000000.0,0.0,1000000.0,0
2022-01-07,1000000.0,0.0,1000000.0,0
2022-01-10,1000000.0,0.0,1000000.0,0
2022-01-11,1000000.0,0.0,1000000.0,0
2022-01-12,1000000.0,0.0,1000000.0,0
2022-01-13,1000000.0,0.0,1000000.0,0
2022-01-14,1000000.0,0.0,1000000.0,0
2022-01-17,1000000.0,0.0,1000000.0,0
2022-01-18,1000000.0,0.0,1000000.0,0
2022-01-19,1000000.0,0.0,1000000.0,0
2022-01-20,1000000.0,0.0,1000000.0,0
2022-01-21,1000000.0,0.0,1000000.0,0
2022-01-24,1000000.0,0.0,1000000.0,0
2022-01-25,1000000.0,0.0,1000000.0,0
2022-01-27,1000000.0,0.0,1000000.0,0
2022-01-28,1000000.0,0.0,1000000.0,0
2022-01-31,1000000.0,0.0,1000000.0,0
2022-02-01,1000000.0,0.0,1000000.0,0
2022-02-02,1000000.0,0.0,1000000.0,0
2022-02-03,1000000.0,0.0,1000000.0,0
2022-02-04,1000000.0,0.0,1000000.0,0
2022-02-07,1000000.0,0.0,1000000.0,0
2022-02-08,1000000.0,0.0,1000000.0,0
2022-02-09,1000000.0,0.0,1000000.0,0
2022-02-10,1000000.0,0.0,1000000.0,0
2022-02-11,1000000.0,0.0,1000000.0,0
2022-02-14,1000000.0,0.0,1000000.0,0
2022-02-15,1000000.0,0.0,1000000.0,0
2022-02-16,1000000.0,0.0,1000000.0,0
2022-02-17,1000000.0,0.0,1000000.0,0
2022-02-18,1000000.0,0.0,1000000.0,0
2022-02-21,1000000.0,0.0,1000000.0,0
2022-02-22,1000000.0,0.0,1000000.0,0
2022-02-23,1000000.0,0.0,1000000.0,0
2022-02-24,1000000.0,0.0,1000000.0,0
2022-02-25,1000000.0,0.0,1000000.0,0
2022-02-28,1000000.0,0.0,1000000.0,0
